generation,add,sub,mul,div,Ageing index,Population density,migrants_Males,labour productivity,x,y,unemp_45 - 54,higher_female,no_male,avg_wage,Capital revenue,PPD/PSD,population_fitness,elite_fitness,val_fitness
2,0.26316023433405705,0.2368397656659429,0.25,0.25,0.07605963224073148,0.06515183975814001,0.08697002157632183,0.08697002157632183,0.07605963224073148,0.08697002157632183,0.08697002157632183,0.08697002157632183,0.08697002157632183,0.08696872314982239,0.08697002157632183,0.08697002157632183,70543.60650746501,3.256958567412257,0.0
3,0.23675675675675678,0.24990990990990988,0.2634234234234235,0.2499099099099099,0.08426236951615179,0.08426236951615179,0.08426236951615179,0.0732329577514459,0.08414334708703636,0.08426236951615179,0.08426236951615179,0.08426236951615179,0.08426236951615179,0.08426236951615179,0.08426236951615179,0.08426236951615179,321.2283850502635,2.9533014279050667,0.0
3,0.25671230440967285,0.22986308677098144,0.25671230440967285,0.25671230440967285,0.0813319197604543,0.09212328666692911,0.08156357026635257,0.08156357026635257,0.08156357026635257,0.08156357026635257,0.08156357026635257,0.07100385386577603,0.08156357026635257,0.09212328666692911,0.09247266117544348,0.08156357026635257,737109.911145129,2.3487629102816787,0.0
2,0.2467087395686013,0.2600492510853168,0.26004925108531673,0.2331927582607652,0.08511248555112745,0.08511248555112745,0.08511248555112745,0.08511248555112745,0.08511248555112745,0.08511248555112745,0.07443757224436279,0.08511248555112745,0.07443757224436279,0.08511248555112745,0.08511248555112745,0.08511248555112745,19847477.925214894,4.017454355361916,0.0
2,0.23333214793741106,0.2600011853959223,0.2600011853959223,0.2466654812707444,0.08793961924073448,0.08793961924073448,0.08793961924073448,0.07678720288385717,0.08793961924073448,0.08793961924073448,0.08793961924073448,0.07703052833164357,0.08793961924073448,0.07703052833164357,0.07678720288385717,0.07678720288385717,4773397.524000107,3.9960750733517987,0.0
3,0.286777443615258,0.22007299230306712,0.23324024792507916,0.25990931615659574,0.08404924306799653,0.061986408572350694,0.08441687200843934,0.08417089162729342,0.08416956392361151,0.084292583314096,0.09532596291753025,0.09532596291753025,0.09532596291753025,0.0733821647013232,0.08441687200843935,0.0731375120238592,14042486.392986378,3.256958567412257,0.0
4,0.24342342342342344,0.2432432432432432,0.25675675675675685,0.2565765765765766,0.08424242656512315,0.08424242656512315,0.08424242656512315,0.07344977524394564,0.08412595910482278,0.08424242656512315,0.08424242656512315,0.08424242656512315,0.08424242656512315,0.08424242656512315,0.08424242656512315,0.08424242656512315,913.9128588469591,2.9533014279050667,0.0
4,0.24649002728632632,0.233502891113994,0.26000354079983984,0.26000354079983984,0.08407722502519194,0.08395820259607639,0.07328201873519938,0.08431143049990526,0.08431143049990526,0.08431143049990526,0.09522052140899617,0.07363524663902825,0.08431143049990526,0.08395820259607639,0.08431143049990525,0.08431143049990526,267665.202445472,2.242912830993985,0.0
3,0.23333214793741106,0.2600011853959223,0.2600011853959223,0.2466654812707444,0.08793961924073448,0.08793961924073448,0.08793961924073448,0.07678720288385717,0.08793961924073448,0.08793961924073448,0.08793961924073448,0.07703052833164357,0.08793961924073448,0.07703052833164357,0.07678720288385717,0.07678720288385717,1173.9887829628417,3.4583056112177664,0.0
3,0.23675204562690916,0.2632503574306854,0.2632503574306854,0.23674723951172,0.08693066736930925,0.08693066736930925,0.08693066736930925,0.08693066736930925,0.08693066736930925,0.08693066736930925,0.07625575406254459,0.07602157646021834,0.06534666315345368,0.08693066736930925,0.08693066736930925,0.08693066736930925,370.00686295376926,3.7085759529037494,0.0
5,0.2435099573257468,0.24333214793741104,0.256667852062589,0.25649004267425324,0.08515151747421408,0.08515151747421408,0.08515151747421408,0.07435886615303657,0.0850350500139137,0.08515151747421408,0.08515151747421408,0.07424242656512317,0.08515151747421408,0.08515151747421408,0.08515151747421408,0.08515151747421408,3286.2125281336903,2.3839307189301273,0.0
