generation,add,sub,mul,div,Ageing index,Population density,migrants_Males,labour productivity,x,y,unemp_45 - 54,higher_female,no_male,avg_wage,Capital revenue,PPD/PSD,constant
21,2015,1,1984,997,1,1,4,2,2015,0,1997,1,3,991,1,981,4997
23,1011,1028,2019,2031,3,1,5,0,1016,2009,2,39,2,2004,2,1,8094
26,1010,4008,997,2051,0,3,2038,0,989,1,2017,1,2,2,2,0,12077
26,5432,2043,2019,1976,2,0,2003,2,1987,1,2489,3965,2,0,2,974,12513
22,1946,10,1959,979,4,6,4,1,1933,3,1968,2,1,983,1,980,4902
21,2948,3345,4430,3314,5,3,983,2879,2467,1413,2420,4,1080,4,1,3,17812
24,1014,997,2016,1996,3,5,1,5,1007,2008,8,46,8,1916,5,4,8030
27,1019,3929,1009,1974,2,3,1984,2,1001,3,1985,5,5,6,4,6,11856
27,5233,2035,2015,2004,1,2,1978,4,2001,1,2184,4081,4,1,6,998,12313
23,1958,3,1963,985,1,1,0,0,1964,0,1977,1,1,978,2,983,4910
25,1006,993,1980,2004,1,3,3,2,1013,1988,2,44,3,1941,7,1,7958
22,2405,3143,4166,2530,5,14,999,2370,2198,1163,2153,5,1059,6,8,2,15506
28,1015,4035,1023,2015,1,4,2004,4,1024,4,2016,6,4,2,1,2,12104
28,5027,1985,1996,1996,2,1,1956,2,2003,0,2061,3964,7,5,3,1008,11996
24,2028,13,1979,1019,1,7,3,3,2012,7,1982,2,9,1013,3,992,5044
26,1002,1010,2004,2017,0,2,2,2,1011,2004,0,24,2,1981,1,0,8037
23,2167,3052,4096,2189,3,6,997,2119,2071,1064,2082,5,1020,2,2,0,14637
29,1010,3925,1017,1944,3,1,1952,2,1023,2,1989,2,0,1,2,1,11814
29,4996,1977,2017,2007,3,11,1954,6,2015,3,2043,3938,3,5,2,1011,12000
25,1987,4,1996,975,0,2,0,1,1992,2,1992,2,2,973,1,994,4963
27,1013,1002,1966,2009,2,8,2,4,1008,1964,5,48,3,1980,1,6,7949
30,1006,3966,1023,1992,2,3,1991,1,1017,1,2013,2,1,1,4,2,11936
30,5045,2047,2063,2014,4,0,1995,2,2006,4,2061,4027,4,4,3,1026,12202
26,1945,3,1980,970,4,1,1,1,1950,1,1968,2,3,981,4,981,4899
28,998,989,1975,1984,1,4,5,4,1025,1974,4,36,0,1915,3,6,7915
24,2051,2955,3984,2122,3,2,952,2099,2074,974,1999,2,1008,2,4,4,14101
31,988,3966,971,2071,3,1,2038,4,961,1,2015,0,0,0,1,2,11966
29,998,1004,1971,1963,6,4,2,7,997,1977,4,29,3,1924,8,4,7907
