Seed,Algorithm,Preprocessing Pipeline,Scaling,Sampling,time,precision,recall,result_profit
1,KerasNN_6l_12n_oa_iu_lm_d2,Morten_Pipeline,None,SMOTETomek,0:03:04.138592,1,0.149414941494149,0.149
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,MinMaxScaler,RandomOverSampler_0.5,0:01:28.243571,0.604166666666667,0.670520231213873,0.506
1,KerasNN_6l_6n_oa_iu_lm_d2,box_cox_pipeline,MinMaxScaler,SMOTETomek,0:03:25.086708,0.823353293413173,0.538160469667319,0.495
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,RobustScaler,SMOTETomek,0:02:13.378750,0,0,0
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,MinMaxScaler,SMOTE,0:01:50.018200,0.602888086642599,0.421717171717172,0.318
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,MinMaxScaler,TomekLinks,0:01:16.957078,0.578125,0.707006369426751,0.514
1,KerasNN_6l_12n_or_iu_lm_d2,simple_pipeline,MinMaxScaler,RandomOverSampler_0.5,0:02:25.172845,0.723723723723724,0.6025,0.516
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,MinMaxScaler,SMOTETomek,0:02:12.627094,0.743975903614458,0.588095238095238,0.512
1,KerasNN_6l_12n_oa_iu_lm_d2,Morten_Pipeline,None,None,0:02:19.026833,0,0,0
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,MinMaxScaler,EditedNN,0:01:09.153084,0.604166666666667,0.620320855614973,0.468
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,RobustScaler,None,0:01:36.159025,0,0,0
1,KerasNN_6l_6n_oa_iu_lm_d2,box_cox_pipeline,MinMaxScaler,None,0:02:16.989979,0.607784431137725,0.665573770491803,0.505
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,MinMaxScaler,SMOTETomek,0:02:02.907754,0.675090252707581,0.385567010309278,0.316
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,MinMaxScaler,None,0:01:33.668978,0.629518072289157,0.715753424657534,0.558
1,KerasNN_6l_12n_or_iu_lm_d2,simple_pipeline,MinMaxScaler,RandomOverSampler_0.5,0:02:12.723844,0.681681681681682,0.677611940298507,0.559
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,MinMaxScaler,SMOTE,0:01:34.265004,0.697916666666667,0.5,0.419
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,MinMaxScaler,RandomOverSampler_0.2,0:01:34.360443,0.607784431137725,0.719858156028369,0.546
1,KerasNN_6l_12n_oa_iu_lm_d2,Bin it!,StandardScaler,RandomOverSampler_0.2,0:02:19.885280,0.677710843373494,0.728155339805825,0.598
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,MinMaxScaler,None,0:01:29.199887,0.574007220216607,0.455587392550143,0.329
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,Normalizer,RandomOverSampler_0.2,0:01:36.367039,0.551204819277108,0.383647798742138,0.267
1,KerasNN_6l_6n_oa_iu_lm_d2,box_cox_pipeline,Normalizer,RandomOverSampler_0.2,0:02:17.898026,0.808383233532934,0.186206896551724,0.17
1,KerasNN_6l_12n_or_iu_lm_d2,simple_pipeline,MinMaxScaler,TomekLinks,0:01:58.333852,0.672672672672673,0.676737160120846,0.553
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,MinMaxScaler,SMOTETomek,0:01:50.693000,0.786458333333333,0.49025974025974,0.44
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,MinMaxScaler,RandomOverSampler_0.5,0:01:53.441455,0.733532934131736,0.593220338983051,0.512
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,Normalizer,RandomOverSampler_0.2,0:01:30.200528,0.447653429602888,0.185907046476762,0.1
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,Normalizer,RandomOverSampler_0.5,0:01:52.845292,0.656626506024096,0.344391785150079,0.277
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,MinMaxScaler,None,0:01:17.363348,0.604166666666667,0.670520231213873,0.506
1,KerasNN_6l_12n_oa_iu_lm_d2,Bin it!,StandardScaler,RandomOverSampler_0.5,0:02:51.108735,0.710843373493976,0.746835443037975,0.633
1,KerasNN_6l_12n_or_iu_lm_d2,simple_pipeline,MinMaxScaler,EditedNN,0:01:44.671027,0.765765765765766,0.569196428571429,0.504
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,MinMaxScaler,RandomOverSampler_0.5,0:01:44.187329,0.715568862275449,0.632275132275132,0.538
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,Normalizer,RandomOverSampler_0.5,0:01:46.790727,0.685920577617329,0.174632352941176,0.145
1,KerasNN_6l_6n_oa_iu_lm_d2,box_cox_pipeline,Normalizer,RandomOverSampler_0.5,0:02:46.051500,0.718562874251497,0.20924149956408,0.179
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,Normalizer,RandomOverSampler_0.2,0:01:19.705528,0.427083333333333,0.258675078864353,0.129
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,Normalizer,RandomOverSampler_0.5,0:01:44.459097,0.632530120481928,0.343698854337152,0.269
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,MinMaxScaler,TomekLinks,0:01:39.301315,0.62874251497006,0.666666666666667,0.519
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,Normalizer,RandomOverSampler_0.5,0:01:41.143619,0.805054151624549,0.158945117605132,0.145
1,KerasNN_6l_12n_oa_iu_lm_d2,Bin it!,StandardScaler,RandomOverSampler_0.5,0:02:34.748187,0.698795180722892,0.778523489932886,0.653
1,KerasNN_6l_12n_or_iu_lm_d2,simple_pipeline,MinMaxScaler,SMOTE,0:02:24.950123,0.732732732732733,0.614609571788413,0.531
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,Normalizer,RandomOverSampler_0.5,0:01:33.297808,0.578125,0.237687366167024,0.173
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,Normalizer,TomekLinks,0:01:29.932087,0.63855421686747,0.31784107946027,0.25
1,KerasNN_6l_6n_oa_iu_lm_d2,box_cox_pipeline,Normalizer,RandomOverSampler_0.5,0:02:35.816753,0.676646706586826,0.226680040120361,0.186
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,MinMaxScaler,EditedNN,0:01:27.225702,0.694610778443114,0.594871794871795,0.497
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,Normalizer,TomekLinks,0:01:24.181291,0,0,0
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,Normalizer,EditedNN,0:01:16.674773,0.674698795180723,0.302294197031039,0.248
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,Normalizer,RandomOverSampler_0.5,0:01:27.354300,0.546875,0.245901639344262,0.169
1,KerasNN_6l_12n_oa_iu_lm_d2,Bin it!,StandardScaler,TomekLinks,0:02:17.491468,0.680722891566265,0.748344370860927,0.617
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,Normalizer,EditedNN,0:01:10.587555,0.664259927797834,0.179863147605083,0.146
1,KerasNN_6l_12n_or_iu_lm_d2,simple_pipeline,MinMaxScaler,SMOTETomek,0:02:49.526281,0.744744744744745,0.563636363636364,0.491
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,Normalizer,TomekLinks,0:01:13.696851,0.354166666666667,0.294372294372294,0.093
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,MinMaxScaler,SMOTE,0:01:52.833849,0.74251497005988,0.582159624413146,0.506
1,KerasNN_6l_6n_oa_iu_lm_d2,box_cox_pipeline,Normalizer,TomekLinks,0:02:16.775573,0.419161676646707,0.232558139534884,0.112
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,Normalizer,SMOTE,0:01:53.142303,0.572289156626506,0.37328094302554,0.269
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,Normalizer,EditedNN,0:01:04.970379,0.354166666666667,0.265625,0.084
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,Normalizer,SMOTE,0:01:47.164882,0.649819494584838,0.182555780933063,0.146
1,KerasNN_6l_12n_oa_iu_lm_d2,Bin it!,StandardScaler,EditedNN,0:02:01.506615,0.762048192771084,0.623152709359606,0.55
1,KerasNN_6l_12n_or_iu_lm_d2,simple_pipeline,MinMaxScaler,None,0:02:00.286973,0.603603603603604,0.720430107526882,0.543
1,KerasNN_6l_6n_oa_iu_lm_d2,box_cox_pipeline,Normalizer,EditedNN,0:01:46.713414,0.68562874251497,0.220404234841193,0.183
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,MinMaxScaler,SMOTETomek,0:02:18.806656,0.817365269461078,0.535294117647059,0.49
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,Normalizer,SMOTE,0:01:33.583725,0.588541666666667,0.220272904483431,0.163
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,Normalizer,SMOTETomek,0:02:06.619681,0.63855421686747,0.353923205342237,0.279
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,Normalizer,SMOTETomek,0:01:42.293243,0.732851985559567,0.162790697674419,0.141
1,KerasNN_6l_12n_or_iu_lm_d2,simple_pipeline,Normalizer,RandomOverSampler_0.2,0:02:02.673085,0.657657657657658,0.287024901703801,0.231
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,MinMaxScaler,None,0:01:36.583285,0.547904191616767,0.720472440944882,0.498
1,KerasNN_6l_12n_oa_iu_lm_d2,Bin it!,StandardScaler,SMOTE,0:02:50.377493,0.701807228915663,0.679300291545189,0.571
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,Normalizer,None,0:01:34.125529,0.587349397590361,0.375722543352601,0.277
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,Normalizer,SMOTETomek,0:01:46.112397,0.609375,0.23780487804878,0.181
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,Normalizer,None,0:01:28.942968,0,0,0
1,KerasNN_6l_6n_oa_iu_lm_d2,box_cox_pipeline,Normalizer,SMOTE,0:02:50.070420,0.691616766467066,0.214684014869888,0.179
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,Normalizer,RandomOverSampler_0.2,0:01:35.851275,0.643712574850299,0.224191866527633,0.178
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,Normalizer,None,0:01:17.262206,0,0,0
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,None,RandomOverSampler_0.2,0:01:36.872621,0,0,0
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,None,RandomOverSampler_0.2,0:01:32.229500,0,0,0
1,KerasNN_6l_12n_or_iu_lm_d2,simple_pipeline,Normalizer,RandomOverSampler_0.5,0:02:24.615972,0.645645645645646,0.288978494623656,0.23
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,None,RandomOverSampler_0.2,0:01:21.605887,0,0,0
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,Normalizer,RandomOverSampler_0.5,0:01:54.108686,0.676646706586826,0.217516843118383,0.179
1,KerasNN_6l_12n_oa_iu_lm_d2,Bin it!,StandardScaler,SMOTETomek,0:03:22.191036,0.731927710843373,0.624678663239074,0.539
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,None,RandomOverSampler_0.5,0:01:52.794326,0,0,0
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,None,RandomOverSampler_0.5,0:01:48.589342,0,0,0
1,KerasNN_6l_6n_oa_iu_lm_d2,box_cox_pipeline,Normalizer,SMOTETomek,0:03:08.837391,0.940119760479042,0.179223744292237,0.175
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,None,RandomOverSampler_0.5,0:01:33.855623,0.802083333333333,0.114925373134328,0.104
1,KerasNN_6l_12n_or_iu_lm_d2,simple_pipeline,Normalizer,RandomOverSampler_0.5,0:02:13.502041,0.60960960960961,0.307575757575758,0.234
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,Normalizer,RandomOverSampler_0.5,0:01:45.410419,0.691616766467066,0.213888888888889,0.178
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,None,RandomOverSampler_0.5,0:01:39.879165,0,0,0
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,None,RandomOverSampler_0.5,0:01:44.306381,0,0,0
1,KerasNN_6l_12n_oa_iu_lm_d2,Bin it!,StandardScaler,None,0:02:18.479699,0.644578313253012,0.75886524822695,0.602
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,None,RandomOverSampler_0.5,0:01:28.559950,0.427083333333333,0.122571001494768,0.061
1,KerasNN_6l_6n_oa_iu_lm_d2,box_cox_pipeline,Normalizer,None,0:02:15.408547,0.48502994011976,0.222527472527472,0.134
1,KerasNN_6l_12n_or_iu_lm_d2,simple_pipeline,Normalizer,TomekLinks,0:01:53.649213,0.588588588588589,0.303405572755418,0.224
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,Normalizer,TomekLinks,0:01:32.702417,0.452095808383234,0.219476744186046,0.12
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,None,TomekLinks,0:01:23.352312,0,0,0
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,None,TomekLinks,0:01:29.385351,0,0,0
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,None,TomekLinks,0:01:12.888277,0,0,0
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,Normalizer,EditedNN,0:01:15.368907,0.592814371257485,0.228637413394919,0.17
1,KerasNN_6l_12n_or_iu_lm_d2,simple_pipeline,Normalizer,EditedNN,0:01:35.235904,0.627627627627628,0.283967391304348,0.221
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,None,EditedNN,0:01:12.705163,0,0,0
1,KerasNN_6l_12n_oa_iu_lm_d2,Bin it!,RobustScaler,RandomOverSampler_0.2,0:02:21.241311,0.707831325301205,0.743670886075949,0.629
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,None,EditedNN,0:01:15.975033,0,0,0
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,None,EditedNN,0:01:02.488433,0,0,0
1,KerasNN_6l_6n_oa_iu_lm_d2,box_cox_pipeline,None,RandomOverSampler_0.2,0:02:14.840278,0,0,0
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,None,SMOTE,0:01:36.946165,0.994791666666667,0.114234449760766,0.114
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,None,SMOTE,0:01:49.255258,0,0,0
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,Normalizer,SMOTE,0:01:54.473041,0.703592814371258,0.210196779964222,0.177
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,None,SMOTE,0:01:53.929543,0,0,0
1,KerasNN_6l_12n_or_iu_lm_d2,simple_pipeline,Normalizer,SMOTE,0:02:23.944563,0.624624624624625,0.297567954220315,0.231
1,KerasNN_6l_12n_oa_iu_lm_d2,Bin it!,RobustScaler,RandomOverSampler_0.5,0:02:48.086971,0.737951807228916,0.663956639566396,0.576
1,KerasNN_6l_6n_oa_iu_lm_d2,box_cox_pipeline,None,RandomOverSampler_0.5,0:02:48.959864,0,0,0
1,KerasNN_3l_6n_oa_iu_lm_d2,chop_off,None,SMOTETomek,0:01:43.513039,0,0,0
1,KerasNN_3l_6n_oa_ih_lm_d2,feature_engineered,None,SMOTETomek,0:01:54.017829,0.166064981949458,0.122015915119363,-0.108
1,KerasNN_3l_6n_or_iu_lm_d2,box_cox_pipeline,Normalizer,SMOTETomek,0:02:09.112946,0.733532934131736,0.209044368600683,0.181
1,KerasNN_3l_12n_or_iu_lm_d2,Joris_Pipeline,None,SMOTETomek,0:02:02.113976,0,0,0
