Municipality,Coordinates,x,y
Constância,"(39.4780719, -8.337225199999999)",39.4780719,-8.3372252
Entroncamento,"(39.4611239, -8.478759)",39.4611239,-8.478759
Ferreira do Zêzere,"(39.6932144, -8.2905257)",39.6932144,-8.2905257
Mação,"(39.60433140000001, -7.981084500000001)",39.6043314,-7.9810845
Ourém,"(39.6564974, -8.5773408)",39.6564974,-8.5773408
Sardoal,"(39.5375181, -8.1612773)",39.5375181,-8.1612773
Sertã,"(39.8052663, -8.098925699999999)",39.8052663,-8.0989257
Tomar,"(39.6053819, -8.4043125)",39.6053819,-8.4043125
Torres Novas,"(39.4790062, -8.540103)",39.4790062,-8.540103
Vila de Rei,"(39.6742376, -8.1557066)",39.6742376,-8.1557066
Vila Nova da Barquinha,"(39.4589562, -8.4322387)",39.4589562,-8.4322387
Almeida,"(40.7254048, -6.905594199999999)",40.7254048,-6.9055942
Belmonte,"(40.351063, -7.3408535)",40.351063,-7.3408535
Celorico da Beira,"(40.6335005, -7.3927217)",40.6335005,-7.3927217
Covilhã,"(40.2804158, -7.4922407)",40.2804158,-7.4922407
Figueira de Castelo Rodrigo,"(40.8946241, -6.963561299999999)",40.8946241,-6.9635613
Fornos de Algodres,"(40.6201957, -7.539550699999999)",40.6201957,-7.5395507
Fundão,"(40.137963, -7.501077299999999)",40.137963,-7.5010773
Gouveia,"(40.4923318, -7.5936526)",40.4923318,-7.5936526
Guarda,"(40.5308408, -7.2221421)",40.5308408,-7.2221421
Manteigas,"(40.4022206, -7.538339300000001)",40.4022206,-7.5383393
Mêda,"(40.9670544, -7.259595099999999)",40.9670544,-7.2595951
Pinhel,"(40.778586, -7.135937699999999)",40.778586,-7.1359377
Sabugal,"(40.3793416, -7.0498442)",40.3793416,-7.0498442
Seia,"(40.4161238, -7.7088512)",40.4161238,-7.7088512
Trancoso,"(40.7787604, -7.3491442)",40.7787604,-7.3491442
Alcochete,"(38.7561726, -8.9598931)",38.7561726,-8.9598931
Almada,"(38.6765238, -9.165104699999999)",38.6765238,-9.1651047
Amadora,"(38.7577603, -9.224547399999999)",38.7577603,-9.2245474
Barreiro,"(38.6608149, -9.0790724)",38.6608149,-9.0790724
Cascais,"(38.6967571, -9.4207438)",38.6967571,-9.4207438
Lisboa,"(38.7222524, -9.1393366)",38.7222524,-9.1393366
Loures,"(38.831549, -9.1741095)",38.831549,-9.1741095
Mafra,"(38.9443106, -9.3320856)",38.9443106,-9.3320856
Moita,"(38.6529133, -8.9900856)",38.6529133,-8.9900856
Montijo,"(38.7054501, -8.976149399999999)",38.7054501,-8.9761494
Odivelas,"(38.795369, -9.185179999999999)",38.795369,-9.18518
Oeiras,"(38.6919934, -9.3118418)",38.6919934,-9.3118418
Palmela,"(38.569441, -8.9016937)",38.569441,-8.9016937
Seixal,"(38.6410676, -9.0975)",38.6410676,-9.0975
Sesimbra,"(38.4444674, -9.1020079)",38.4444674,-9.1020079
Setúbal,"(38.5254047, -8.8941)",38.5254047,-8.8941
Sintra,"(38.8029127, -9.3816495)",38.8029127,-9.3816495
Vila Franca de Xira,"(38.9549771, -8.9889589)",38.9549771,-8.9889589
Alcácer do Sal,"(38.3725007, -8.5110083)",38.3725007,-8.5110083
Grândola,"(38.1762557, -8.5662971)",38.1762557,-8.5662971
Odemira,"(37.5972313, -8.6366851)",37.5972313,-8.6366851
Santiago do Cacém,"(37.9650235, -8.528161299999999)",37.9650235,-8.5281613
Sines,"(37.9571555, -8.860890699999999)",37.9571555,-8.8608907
Aljustrel,"(37.8760582, -8.1649833)",37.8760582,-8.1649833
Almodôvar,"(37.4891809, -8.090174)",37.4891809,-8.090174
Alvito,"(38.2316311, -8.024700500000002)",38.2316311,-8.0247005
Barrancos,"(38.1328809, -6.977312599999999)",38.1328809,-6.9773126
Beja,"(38.0153039, -7.8627308)",38.0153039,-7.8627308
Castro Verde,"(37.6991315, -8.085826299999999)",37.6991315,-8.0858263
Cuba,"(38.156574, -7.8939317)",38.156574,-7.8939317
Ferreira do Alentejo,"(38.05938, -8.1140689)",38.05938,-8.1140689
Mértola,"(37.6415148, -7.6606665)",37.6415148,-7.6606665
Moura,"(38.1314891, -7.3084571)",38.1314891,-7.3084571
Ourique,"(37.6521402, -8.224390399999999)",37.6521402,-8.2243904
Serpa,"(37.94434469999999, -7.597874299999999)",37.9443447,-7.5978743
Vidigueira,"(38.2118842, -7.8005203)",38.2118842,-7.8005203
Almeirim,"(39.2075584, -8.625918799999999)",39.2075584,-8.6259188
Alpiarça,"(39.2591889, -8.5820055)",39.2591889,-8.5820055
Azambuja,"(39.0688462, -8.868323499999999)",39.0688462,-8.8683235
Benavente,"(38.9817395, -8.8095549)",38.9817395,-8.8095549
Cartaxo,"(39.1618427, -8.7886431)",39.1618427,-8.7886431
Chamusca,"(39.3107092, -8.352656)",39.3107092,-8.352656
Coruche,"(38.9603055, -8.5248217)",38.9603055,-8.5248217
Golegã,"(39.4047966, -8.4880572)",39.4047966,-8.4880572
Rio Maior,"(39.3393698, -8.935573699999999)",39.3393698,-8.9355737
Salvaterra de Magos,"(39.0272019, -8.794182)",39.0272019,-8.794182
Santarém,"(39.2848804, -8.704075)",39.2848804,-8.704075
Alter do Chão,"(39.2009423, -7.6603032)",39.2009423,-7.6603032
Arronches,"(39.1218363, -7.2845731)",39.1218363,-7.2845731
Avis,"(39.05406869999999, -7.891114)",39.0540687,-7.891114
Campo Maior,"(39.0134528, -7.070006299999999)",39.0134528,-7.0700063
Castelo de Vide,"(39.4142343, -7.453963499999999)",39.4142343,-7.4539635
Crato,"(39.28767440000001, -7.6456553)",39.2876744,-7.6456553
Elvas,"(38.8802788, -7.1636637)",38.8802788,-7.1636637
Fronteira,"(39.05599730000001, -7.647754000000001)",39.0559973,-7.647754
Gavião,"(39.46528, -7.935946899999999)",39.46528,-7.9359469
Marvão,"(39.3939447, -7.376536299999999)",39.3939447,-7.3765363
Monforte,"(39.053627, -7.439591099999999)",39.053627,-7.4395911
Nisa,"(39.5179524, -7.648376700000001)",39.5179524,-7.6483767
Ponte de Sor,"(39.2576559, -8.011396099999999)",39.2576559,-8.0113961
Portalegre,"(39.2967086, -7.4284755)",39.2967086,-7.4284755
Sousel,"(38.9535932, -7.6764218)",38.9535932,-7.6764218
Alandroal,"(38.7021331, -7.4036488)",38.7021331,-7.4036488
Arraiolos,"(38.723479, -7.9863851)",38.723479,-7.9863851
Borba,"(38.8068177, -7.458405000000001)",38.8068177,-7.458405
Estremoz,"(38.8424149, -7.5888963)",38.8424149,-7.5888963
Évora,"(38.571431, -7.913501999999999)",38.571431,-7.913502
Montemor-o-Novo,"(38.64708, -8.2178641)",38.64708,-8.2178641
Mora,"(38.9447445, -8.1653387)",38.9447445,-8.1653387
Mourão,"(38.3637216, -7.286867999999999)",38.3637216,-7.286868
Portel,"(38.2773641, -7.654811)",38.2773641,-7.654811
Redondo,"(38.6490041, -7.543651400000001)",38.6490041,-7.5436514
Reguengos de Monsaraz,"(38.4252756, -7.53437)",38.4252756,-7.53437
Vendas Novas,"(38.6540819, -8.550128299999999)",38.6540819,-8.5501283
Viana do Alentejo,"(38.3341493, -8.0038406)",38.3341493,-8.0038406
Vila Viçosa,"(38.7663221, -7.362459800000001)",38.7663221,-7.3624598
Albufeira,"(37.0890719, -8.2478796)",37.0890719,-8.2478796
Alcoutim,"(37.4699785, -7.473077600000001)",37.4699785,-7.4730776
Aljezur,"(37.3166126, -8.803728999999999)",37.3166126,-8.803729
Castro Marim,"(37.2179422, -7.4423339)",37.2179422,-7.4423339
Faro,"(37.0193548, -7.9304397)",37.0193548,-7.9304397
Lagoa,"(37.1356176, -8.4514359)",37.1356176,-8.4514359
Lagos,"(37.1027881, -8.6730275)",37.1027881,-8.6730275
