,Municipality,Total,BE,CDS-PP,CDS-PP.PPM,JPP,L/TDA,MPT,NC,PAN,PCP-PEV,PCTP/MRPP,PDR,PNR,PPD/PSD,PPD/PSD.CDS-PP,PPM,PPV/CDC,PS,PTP,PTP-MAS,PURP,Winning_Party,Winning_Party_Fraction_Votes,Total_Number_People,Total_0-14,Total_15-65,Total_65>,Fraction_0-14,Fraction_15-65,Fraction_65>,Coordinates,x,y,Total_Avarage_income,Male_Avarage_income,Female_Avarage_Income,Unemployment_%Rate_2017,Unemployment_Rate_2017
46,Vila Pouca de Aguiar,7231,249,0,0,0,15,24,17,29,219,79,40,12,0,4005,20,0,2476,0,39,7,PPD/PSD.CDS-PP,0.5538653021712073,12161,1112,7450.0,3600.0,0.09143984869665324,0.6126140942356714,0.2960282871474385,"(41.5002387, -7.6432318)",41.500238700000004,-7.6432318,697.6,716.6,669.9,8.7,0.087
47,Amarante,27788,2092,0,0,34,102,141,60,183,1065,217,544,176,0,12634,69,0,10354,0,69,48,PPD/PSD.CDS-PP,0.4546566863394271,53781,7018,37115.0,9649.0,0.13049218125360257,0.6901136088953348,0.179412803778286,"(41.26963569999999, -8.0826488)",41.2696357,-8.0826488,711.8,721.5,696.2,8.3,0.083
48,Baião,8836,552,0,0,5,17,22,26,59,263,68,56,45,0,3428,25,0,4229,0,30,11,PS,0.47861023087369853,19153,2350,12856.0,3948.0,0.1226961833655302,0.6712264397222367,0.20612958805409073,"(41.16177150000001, -8.035514)",41.1617715,-8.035514,645.9,664.6,624.5,11,0.11
49,Castelo de Paiva,8243,665,0,0,6,24,11,15,38,239,62,69,28,0,3933,32,16,3067,0,23,15,PPD/PSD.CDS-PP,0.477132112095111,15738,2117,10804.0,2818.0,0.13451518617359257,0.6864912949548863,0.1790570593468039,"(41.0409444, -8.2714736)",41.040944399999994,-8.271473599999998,661.9,710.2,623.3,8.2,0.08199999999999999
50,Celorico de Basto,9557,597,0,0,15,38,45,15,67,295,84,109,41,0,5308,27,23,2827,0,51,15,PPD/PSD.CDS-PP,0.5554044156115936,19264,2347,13044.0,3873.0,0.12183347176079734,0.6771179401993356,0.2010485880398671,"(41.38694960000001, -8.002203399999999)",41.3869496,-8.002203399999999,620.1,621.7,618.3,8.1,0.081
51,Cinfães,8657,501,0,0,0,25,47,19,53,284,99,70,16,0,4324,22,0,3139,0,34,24,PPD/PSD.CDS-PP,0.49948018944207,18775,2428,12100.0,4248.0,0.1293209054593875,0.644474034620506,0.2262583222370173,"(41.071713, -8.0898477)",41.071713,-8.0898477,680.7,707.2,628.8,11.8,0.11800000000000001
52,Felgueiras,29944,2804,0,0,46,75,103,86,211,1291,327,342,198,0,14938,88,0,9301,0,93,41,PPD/PSD.CDS-PP,0.49886454715468875,56838,7783,40686.0,8370.0,0.13693303775643056,0.7158239206164889,0.14726063549034096,"(41.367707, -8.1951206)",41.367707,-8.1951206,685.5,737.8,626.9,4.6,0.046
53,Lousada,23147,1905,0,0,36,61,74,102,191,1097,224,261,114,0,11021,65,0,7885,0,74,37,PPD/PSD.CDS-PP,0.476130816088478,46870,6983,33800.0,6087.0,0.14898655856624707,0.7211435886494559,0.129869852784297,"(41.2774793, -8.2837376)",41.277479299999996,-8.283737599999998,640.5,671.2,611.3,5.6,0.055999999999999994
54,Marco de Canaveses,24213,2131,0,0,32,65,91,71,210,1012,233,291,131,0,12094,71,0,7670,0,64,47,PPD/PSD.CDS-PP,0.49948374839962006,51991,7448,36588.0,7955.0,0.14325556346290705,0.7037371852820681,0.1530072512550249,"(41.1845043, -8.1477551)",41.18450429999999,-8.1477551,710.3,756.2,632.7,9.5,0.095
55,Paços de Ferreira,27144,1902,0,0,27,66,87,78,235,1171,239,308,136,0,15220,76,0,7501,0,69,29,PPD/PSD.CDS-PP,0.5607132331270263,56772,8423,40719.0,7630.0,0.1483653913901219,0.7172373705347707,0.13439723807510745,"(41.2785916, -8.372138099999999)",41.278591600000006,-8.372138099999999,662.3,687.9,632.6,7.2,0.07200000000000001
56,Penafiel,37413,3395,0,0,66,115,138,118,418,1908,444,397,222,0,17352,116,0,12534,0,127,63,PPD/PSD.CDS-PP,0.46379600673562665,70206,10338,49250.0,10618.0,0.1472523715921716,0.7015069937042419,0.1512406347035866,"(41.2053186, -8.2896845)",41.2053186,-8.2896845,734.6,765,704.6,7.5,0.075
57,Resende,5781,220,0,0,0,10,20,6,27,188,64,54,9,0,2660,14,0,2484,0,13,12,PPD/PSD.CDS-PP,0.46012800553537453,10426,1287,6751.0,2389.0,0.12344139650872818,0.6475158258200652,0.22913869173220794,"(41.10636150000001, -7.963362999999999)",41.1063615,-7.963363,651.7,667.8,636.6,11.1,0.111
58,Alijó,6125,297,0,0,0,24,22,16,36,220,66,33,13,0,3004,31,0,2325,0,28,10,PPD/PSD.CDS-PP,0.49044897959183675,10870,1135,6421.0,3314.0,0.10441582336706531,0.5907083716651333,0.3048758049678013,"(41.2772291, -7.4749657)",41.2772291,-7.4749657,746.4,801.3,672.6,10.2,0.102
59,Armamar,3117,237,0,0,0,6,13,5,20,190,52,25,10,0,1797,11,0,736,0,13,2,PPD/PSD.CDS-PP,0.5765158806544755,5857,583,3683.0,1592.0,0.09953901314666211,0.6288202151271982,0.2718115075977463,"(41.1000712, -7.681943)",41.10007120000001,-7.6819429999999995,704.6,738.5,667.1,9.5,0.095
60,Carrazeda de Ansiães,3086,186,0,0,3,9,12,10,25,107,38,29,13,0,1634,13,0,992,0,15,0,PPD/PSD.CDS-PP,0.5294880103694103,5763,579,3205.0,1980.0,0.10046850598646538,0.5561339580079819,0.3435710567412806,"(41.2428168, -7.308031299999999)",41.24281679999999,-7.3080313,669.5,673.6,665.3,9.9,0.099
61,Freixo de Espada à Cinta,1754,122,0,0,2,5,4,5,7,53,11,13,4,0,777,5,0,740,0,6,0,PPD/PSD.CDS-PP,0.4429874572405929,3384,366,1982.0,1036.0,0.10815602836879433,0.5856973995271868,0.3061465721040189,"(41.0900806, -6.8087993)",41.09008060000001,-6.8087993,681.6,689.9,672.6,11.3,0.113
62,Lamego,13342,946,0,0,0,61,41,23,86,646,148,132,51,0,6474,32,0,4632,0,42,28,PPD/PSD.CDS-PP,0.48523459751161746,25155,2871,16796.0,5488.0,0.11413237924865832,0.6677002583979328,0.21816736235340886,"(41.0953745, -7.812380500000001)",41.0953745,-7.8123805,730.3,764.3,690.9,13.1,0.131
63,Mesão Frio,2078,167,0,0,0,5,2,9,11,45,34,15,6,0,958,4,0,804,0,17,1,PPD/PSD.CDS-PP,0.46102021174205965,4038,460,2680.0,898.0,0.11391778107974244,0.6636948984645864,0.2223873204556711,"(41.1598648, -7.889922799999999)",41.1598648,-7.8899228,678.4,730.7,636.7,13.3,0.133
64,Moimenta da Beira,4689,246,0,0,0,13,7,16,36,189,59,35,12,0,2523,17,0,1498,0,20,18,PPD/PSD.CDS-PP,0.5380678182981445,9762,1163,6188.0,2411.0,0.11913542306904323,0.6338864986683057,0.24697807826265109,"(40.9813255, -7.615518699999999)",40.9813255,-7.615518700000001,663.9,703.1,623.9,10.6,0.106
65,Murça,3122,176,0,0,0,9,9,3,23,50,28,13,5,0,1724,2,0,1063,0,14,3,PPD/PSD.CDS-PP,0.5522101217168481,5536,606,3309.0,1622.0,0.10946531791907514,0.5977239884393064,0.2929913294797688,"(41.4072842, -7.453387899999999)",41.4072842,-7.4533879,677.6,685.4,668.9,11,0.11
66,Penedono,1349,87,0,0,0,5,5,4,8,53,20,14,3,0,693,1,0,451,0,3,2,PPD/PSD.CDS-PP,0.513713862120089,2663,276,1671.0,717.0,0.10364250844911754,0.6274877957191137,0.26924521216672925,"(40.9903208, -7.3943499)",40.9903208,-7.394349900000001,637.9,622.8,652.2,6.9,0.069
67,Peso da Régua,7860,540,0,0,0,29,22,21,47,404,105,58,26,0,3475,12,0,3081,0,26,14,PPD/PSD.CDS-PP,0.44211195928753183,15982,1824,10662.0,3497.0,0.11412839444374921,0.6671255162057315,0.21880865974220998,"(41.1656737, -7.7867018)",41.1656737,-7.7867017999999995,774.1,847.7,697.8,11.2,0.11199999999999999
68,Sabrosa,3315,184,0,0,0,14,6,12,17,109,28,19,8,0,1634,6,0,1255,0,17,6,PPD/PSD.CDS-PP,0.4929110105580694,5947,644,3678.0,1626.0,0.10828989406423407,0.6184630906339331,0.2734151673112494,"(41.266132, -7.5755135)",41.266132,-7.5755135,756.6,774.5,739.6,8.7,0.087
69,Santa Marta de Penaguião,3783,174,0,0,0,9,8,5,18,121,38,8,4,0,1673,12,0,1699,0,9,5,PS,0.4491144594237378,6734,673,4263.0,1799.0,0.09994059994059994,0.6330561330561331,0.26715176715176714,"(41.2098807, -7.784071899999999)",41.20988070000001,-7.7840719,698.6,703.8,694.1,11.3,0.113
70,São João da Pesqueira,3468,183,0,0,0,11,22,15,29,129,46,36,26,0,1936,8,0,1006,0,14,7,PPD/PSD.CDS-PP,0.558246828143022,7237,833,4729.0,1676.0,0.11510294320851182,0.6534475611441205,0.23158767445073924,"(41.14773810000001, -7.405053300000001)",41.1477381,-7.4050533,756.6,798.8,703.9,5.6,0.055999999999999994
71,Sernancelhe,3157,114,0,0,0,7,12,8,9,45,19,11,8,0,2072,7,0,827,0,12,6,PPD/PSD.CDS-PP,0.656319290465632,5419,542,3461.0,1417.0,0.10001845358922311,0.6386787230116258,0.26148735929138217,"(40.8998417, -7.4900188)",40.8998417,-7.4900188,633.8,640.3,626.3,6.8,0.068
72,Tabuaço,2855,136,0,0,0,9,5,4,23,85,39,26,11,0,1568,7,0,922,0,14,6,PPD/PSD.CDS-PP,0.5492119089316988,6060,544,3999.0,1517.0,0.08976897689768977,0.6599009900990099,0.2503300330033003,"(41.1162713, -7.5674579)",41.1162713,-7.5674579,774.6,845.1,703.4,11.8,0.11800000000000001
73,Tarouca,3522,300,0,0,0,17,11,8,33,167,40,39,16,0,1955,11,0,903,0,15,7,PPD/PSD.CDS-PP,0.5550823395797843,7748,937,5205.0,1606.0,0.12093443469282396,0.6717862674238513,0.20727929788332472,"(41.0174461, -7.775003600000001)",41.0174461,-7.775003599999999,690.5,703.3,672.5,11.5,0.115
74,Torre de Moncorvo,4167,244,0,0,8,19,8,10,19,163,35,37,19,0,1892,17,0,1672,0,24,0,PPD/PSD.CDS-PP,0.4540436765058795,7825,618,4399.0,2809.0,0.07897763578274761,0.5621725239616614,0.3589776357827476,"(41.1856059, -7.0498442)",41.1856059,-7.0498442,679.2,703.2,657.4,8.8,0.08800000000000001
75,Vila Nova de Foz Côa,3599,212,0,0,4,5,12,9,29,142,27,40,15,0,1707,5,0,1375,0,12,5,PPD/PSD.CDS-PP,0.47429841622672964,6635,605,3933.0,2097.0,0.09118311981914091,0.5927656367746797,0.31605124340617935,"(41.0822466, -7.1403598)",41.082246600000005,-7.1403598,742.8,798.5,680.9,6.6,0.066
76,Vila Real,27558,1893,0,0,0,131,81,79,265,1006,227,232,88,0,13708,74,0,9609,0,131,34,PPD/PSD.CDS-PP,0.49742361564699905,50012,6546,33398.0,10069.0,0.1308885867391826,0.6677997280652643,0.2013316803967048,"(41.3010351, -7.7422354)",41.3010351,-7.742235400000001,816.4,846.4,783.8,8.8,0.08800000000000001
