generation,add,sub,mul,div,Ageing index,Population density,migrants_Males,labour productivity,x,y,unemp_45 - 54,higher_female,no_male,avg_wage,Capital revenue,PPD/PSD,constant
36,2044,14,2004,1025,5,6,5,2,2058,5,1993,2,7,1024,4,971,5092
40,9497,2294,3675,2004,3,1,2217,3,1978,0,3774,7257,1,1,4,2107,18594
45,1006,1028,2021,2046,1,0,3,3,1017,2000,2,2,1,2047,3,0,8123
38,2063,3077,4133,2065,0,1,1028,2045,2025,1023,2077,0,1022,0,0,0,14455
31,997,6070,976,2079,2,1,4,4,968,1,3033,0,0,1031,1,2,16197
37,2005,6,2012,1012,2,3,1,2,2005,3,2025,2,2,993,2,992,5038
41,9077,2084,3377,1980,2,7,1999,4,1923,0,3501,6877,1,2,3,2089,17628
46,1023,1011,1996,2016,6,2,4,3,1007,2005,6,4,5,1992,9,8,8041
39,1971,2919,3957,1912,3,0,981,1931,1950,987,1966,1,996,1,3,1,13698
47,987,1007,1995,1988,2,4,2,0,980,1998,2,1,4,1999,3,3,7956
38,2001,3,1967,1001,2,2,6,4,1993,2,1974,7,3,995,3,981,4972
32,1025,6035,1018,2009,2,2,1,2,1015,4,3006,3,2,1011,6,1,16119
42,9513,2063,3627,2022,3,3,2075,2,2031,5,3859,6883,4,2,6,2232,18345
40,1998,3000,3999,1950,5,6,1026,1929,1939,1019,2011,6,993,3,4,3,13950
48,1014,1008,1991,1997,2,4,6,4,1003,1978,4,7,3,2007,4,4,7994
39,1988,9,1985,1019,3,2,7,3,1985,5,1992,5,2,1001,5,988,5004
43,9707,2034,3769,2015,0,1,2024,1,2020,2,4246,6802,3,0,0,2359,18592
41,1944,2924,3904,1959,2,2,989,1967,1932,993,1973,2,954,1,2,5,13640
33,1011,5873,1004,1968,1,5,5,1,993,3,2991,2,5,966,3,3,15734
49,996,1012,1980,1980,5,1,2,4,963,1988,0,2,3,2017,2,0,7949
40,2041,5,2011,1001,2,2,4,1,2038,3,2009,1,1,999,1,995,5060
44,9534,2034,3766,2026,2,2,2020,7,2002,5,4473,6398,12,3,2,2387,18407
42,1985,2952,3960,1997,5,4,973,1997,1997,985,1979,2,993,4,1,2,13846
34,1013,5977,1012,2020,1,1,3,1,1006,2,3039,2,1,984,3,2,15999
41,2059,6,2028,1023,2,4,2,2,2054,4,2024,2,1,1024,1,994,5118
43,2019,3006,4058,1985,6,4,996,1984,1988,999,2038,3,1021,5,3,3,14086
45,9181,2029,3557,2018,4,3,1987,2,1982,3,4404,6065,4,2,4,2280,17830
42,2002,11,2003,985,3,4,7,1,1997,5,2002,5,1,984,1,987,5005
35,1004,5901,1020,1918,1,1,3,2,1017,4,2905,4,4,987,1,0,15757
43,1983,1,1994,1011,2,2,1,1,1991,1,1976,2,2,1017,0,993,4990
44,1968,2959,3936,1972,3,4,971,1974,1962,978,1980,3,978,2,2,3,13810
36,1014,5915,991,1993,1,1,2,2,987,1,3000,3,2,994,4,1,15828
46,9063,2048,3428,2067,7,1,2051,4,2086,0,4413,5791,2,6,1,2232,17618
44,2018,6,2023,1014,4,1,5,3,2010,1,2011,4,2,1002,1,1014,5064
