generation,add,sub,mul,div,Ageing index,Population density,migrants_Males,labour productivity,x,y,unemp_45 - 54,higher_female,no_male,avg_wage,Capital revenue,PPD/PSD,constant
15,3493,3454,5146,4975,2,3,1031,3919,3038,2159,3023,3,1273,3,2,0,20680
26,1945,3,1980,970,4,1,1,1,1950,1,1968,2,3,981,4,981,4899
19,2036,1012,1023,3002,8,4,12,8,3021,5,1006,995,4,8,3,1987,8085
26,1002,1011,2004,2016,0,2,3,1,1010,2005,0,24,1,1982,1,0,8037
22,3384,1734,2898,4442,3,0,5473,4,1519,1,4053,1031,2,4,7,4,13815
27,2006,5,1977,991,2,0,2,2,2007,0,1960,3,1,995,6,994,4986
16,3594,3323,5147,5110,5,0,1013,4044,3136,2063,3021,0,1302,1,3,2,20758
20,1989,989,995,2977,4,2,2,1,2990,3,987,981,1,4,2,1993,7930
27,1013,1002,1966,2009,2,8,2,5,1007,1964,5,48,3,1980,1,6,7949
28,2001,10,2000,1006,6,8,3,2,1990,4,1989,3,5,999,1,1003,5021
23,3606,2270,3703,4630,16,2,5668,9,1988,10,4918,1048,4,1,5,3,15746
21,2013,993,984,3001,8,7,4,4,2983,2,982,998,4,3,4,1999,7984
28,998,990,1974,1984,1,4,5,5,1024,1974,4,36,0,1914,3,7,7915
29,1998,4,1996,1000,6,0,2,0,2005,2,1998,3,0,996,2,984,4998
17,4039,3484,4991,4952,3,4,1002,3946,2989,1988,2971,3,1428,4,1,3,21590
30,2027,4,2015,1031,0,4,2,3,2011,1,1993,5,3,1027,3,1021,5081
29,998,1004,1971,1963,6,4,2,8,996,1977,4,29,3,1924,8,4,7907
22,2002,1002,1005,2989,3,6,0,2,2992,2,995,994,1,5,2,1997,7997
24,3747,2577,4360,4658,6,3,5654,5,2381,1,5623,1033,7,3,2,5,16961
31,2017,4,1960,1001,2,3,3,2,2019,3,1959,3,2,999,4,981,4984
30,979,989,1945,1994,2,1,4,1,997,1933,2,14,0,2004,0,1,7855
23,2010,980,995,2973,3,0,7,3,2999,0,978,970,4,2,2,2008,7940
18,4394,3758,5077,4906,5,3,1020,3943,3016,1965,3002,6,1570,3,2,1,22734
32,1993,4,2011,1011,1,5,1,1,1987,4,2020,1,2,1007,4,982,5023
31,1018,1026,2019,2042,3,4,1,6,1031,2004,0,6,0,2038,3,4,8110
24,2010,1019,980,2998,0,2,4,3,2963,1,975,1022,2,0,1,2010,8031
25,4369,3173,5110,5006,6,4,5951,5,2900,5,6612,1025,3,5,5,5,19790
33,2008,12,2007,1010,6,0,3,3,2017,2,1994,2,5,1004,4,994,5040
25,1966,979,964,2954,0,2,1,0,2954,0,961,972,3,0,0,1992,7841
32,1000,1002,1990,1993,9,3,3,5,1005,1991,3,3,0,1989,1,4,7954
19,4092,3694,4816,4530,11,4,983,3673,2837,1840,2832,5,1389,5,5,6,21674
34,1971,8,1991,971,1,2,0,2,1971,1,1987,4,0,965,2,1005,4942
26,1946,995,989,2918,2,0,0,2,2946,2,988,974,2,0,2,1933,7845
33,1000,1013,1991,1996,3,5,1,2,973,1989,1,3,3,2019,2,1,7998
35,1977,6,1976,1007,0,2,2,0,1988,0,1971,1,3,1011,2,985,4967
26,5384,3909,6112,5648,3,4,6720,1,3409,4,8077,1040,2,1,3,2,23840
20,3731,3723,4878,4179,6,4,1048,3449,2799,1763,2757,2,1259,0,3,1,20931
34,1030,1019,2039,2048,5,5,4,3,1042,2030,4,2,3,2008,4,5,8157
36,2044,14,2004,1024,5,6,5,2,2058,5,1993,2,7,1023,4,971,5091
27,2042,1008,990,3031,1,2,3,5,3011,4,989,1003,4,1,5,2039,8075
37,2005,6,2012,1012,2,3,1,2,2005,3,2025,2,2,993,2,992,5038
35,987,975,2003,1958,1,1,2,1,990,1999,0,3,1,1926,0,0,7922
28,1991,984,980,2979,1,1,1,3,2978,1,978,982,5,4,4,2000,7910
27,5607,3919,6072,5443,4,3,6407,6,3485,3,8228,1020,7,7,5,5,23902
21,2941,3352,4422,3312,5,5,981,2877,2460,1413,2419,4,1075,4,1,3,17807
38,2001,3,1967,1001,2,2,6,4,1993,4,1973,6,3,995,3,981,4972
36,974,986,1982,1938,1,0,1,1,987,1986,2,2,1,1916,0,2,7861
29,1992,1017,1005,2969,2,10,3,6,2965,3,996,1000,3,5,2,1981,7990
22,2391,3151,4150,2533,7,12,997,2369,2190,1160,2153,4,1050,5,8,2,15493
37,988,993,1970,2005,3,2,2,0,1018,1960,2,0,2,1985,1,2,7935
28,5603,3654,6015,5228,1,7,6225,3,3486,3,8099,1051,6,5,1,2,23111
39,1988,8,1986,1019,3,2,7,3,1985,5,1992,5,3,1000,5,988,5004
