generation,add,sub,mul,div,Ageing index,Population density,migrants_Males,labour productivity,x,y,unemp_45 - 54,higher_female,no_male,avg_wage,Capital revenue,PPD/PSD,population_fitness,elite_fitness,val_fitness
2,0.2672980255466394,0.19023198378035022,0.23291529197010075,0.30955469870290964,0.16215168381403824,0.16215168381403824,0.060085369220709804,0.1242581785244611,0.043698450342334404,0.03243033676280765,0.04466002993421951,0.06028367076929301,0.05004370477560488,0.09087538429400886,0.08154442965667759,0.08781707809180665,19847477.925214894,4.017454355361916,0.0
3,0.18728240977042598,0.32774421709824547,0.18728240977042598,0.29769096336090256,0.04694589061256687,0.15961602808272735,0.03886148216746001,0.19430741083730002,0.03886148216746001,0.03886148216746001,0.03886148216746001,0.04560457945220782,0.11401144863051954,0.13879654615889334,0.10641068538848492,0.03886148216746001,321.2273850502635,2.9533014279050667,0.0
3,0.28664271734137053,0.3237472511650757,0.19289929893603605,0.1967107325575179,0.14911182833867545,0.0909628653714915,0.06047801319293758,0.05842523467725041,0.029822365667735093,0.07103766629011715,0.029822365667735093,0.06357063886757644,0.14344144154735194,0.11023086148466456,0.12294980704058739,0.07014691185387745,737109.911145129,2.3487629102816787,0.0
3,0.2043629677484076,0.19207158198728058,0.2942420043103938,0.30932344595391814,0.19857012721269257,0.26714329092910233,0.05342865818582046,0.05342865818582046,0.05342865818582046,0.05342865818582046,0.05342865818582046,0.05342865818582046,0.05342865818582046,0.05342865818582046,0.05342865818582046,0.05342865818582046,370.00690130957264,3.7085759529037494,0.0
2,0.34310280467264964,0.19605874552722838,0.2611746817568143,0.19966376804330765,0.072780239154535,0.10668921421517065,0.05047661747814526,0.08496516607181011,0.046478469559084246,0.030834725892041028,0.044078173009084586,0.10205055272755453,0.12687366014777052,0.07451310199154776,0.15417362946020513,0.10608645029305105,4773397.524623241,3.9960750733517987,0.0
2,0.20486108774383727,0.246434364718748,0.3491756211601731,0.1995289263772418,0.13154421341754977,0.1557390903054497,0.044637579345290425,0.052233925911344715,0.05067347843915045,0.035650810052322665,0.05257476718972217,0.04420896061357982,0.08902854223010964,0.07841443378905034,0.13100948084268169,0.1342847178637487,70542.76421672301,3.256958567412257,0.0
4,0.2105263157894737,0.3684210526315789,0.2105263157894737,0.2105263157894737,0.17530047326892043,0.07866046877451557,0.03770465451876421,0.18852327259382107,0.03770465451876421,0.08404817211523581,0.03770465451876421,0.12521462376351458,0.05577742331283831,0.06197491479204258,0.07968203330405474,0.03770465451876421,913.9128588469591,2.9533014279050667,0.0
4,0.20185957407904667,0.3379865847743853,0.20340262850216656,0.25675121264440154,0.16580920189482645,0.16580920189482645,0.033161840378965295,0.08222842506369439,0.033161840378965295,0.07059232717732256,0.033161840378965295,0.054486310782496515,0.16580920189482645,0.06641526639759932,0.08700914745111847,0.042355396306393525,267665.181373966,2.242912830993985,0.0
4,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.36842105263157887,0.20055253308732035,0.24451388441578856,0.10351098481926212,0.05013813327183009,0.04890277688315771,0.04890277688315771,0.04890277688315771,0.04890277688315771,0.054387127616900434,0.04890277688315771,0.04890277688315771,0.05348067548995209,760.887488220376,3.6625871285682674,0.0
3,0.34790773094331884,0.1988044176818965,0.25448343369288823,0.1988044176818965,0.04639491574098978,0.04639491574098978,0.04639491574098978,0.04639491574098978,0.04639491574098978,0.04639491574098978,0.04639491574098978,0.18641423515390662,0.10252782933464866,0.04639491574098978,0.2319745787049489,0.1079240308785775,1173.9887829628417,3.4583056112177664,0.0
5,0.2105263157894737,0.3684210526315789,0.2105263157894737,0.2105263157894737,0.1270126792466019,0.052971367664584705,0.052971367664584705,0.2648568383229235,0.052971367664584705,0.11596809844254957,0.052971367664584705,0.06839144267124718,0.052971367664584705,0.052971367664584705,0.052971367664584705,0.052971367664584705,3286.2125281336903,2.3839307189301273,0.0
5,0.32196479389435834,0.2573263727567362,0.19791911348141228,0.22278971986749327,0.17788183963947893,0.035576367927895786,0.035576367927895786,0.17788183963947893,0.035576367927895786,0.035576367927895786,0.035576367927895786,0.035576367927895786,0.1129147843502204,0.1411434804377755,0.1411434804377755,0.035576367927895786,55.76960897177998,2.242912830993985,0.0
